"Time","Cuisine","Extérieur","2ème étage","Chambre 3","Extérieur Cuisine","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre3 2","Chambre 2","Chambre 1","Chambre 2 2"
2021-01-07 12:15:00,42,61,56,47,,56,,,,,,,43
2021-01-07 12:30:00,42,,56,,,55,,,,,,49,
2021-01-07 12:45:00,41,60,56,47,,57,,,,,,49,43
2021-01-07 13:00:00,41,65,,47,,59,,,,,,,43
2021-01-07 13:15:00,41,64,56,47,84,,,,,,,49,
2021-01-07 13:45:00,41,65,,47,,,,,,,,,43
2021-01-07 14:15:00,41,,,46,,61,,,,,,,
2021-01-07 14:45:00,40,64,55,46,,58,,,,,,,43
2021-01-07 15:15:00,40,,,,,55,,,,,,,
2021-01-07 15:45:00,40,67,55,46,,60,,,,,,47,44
2021-01-07 16:00:00,39,67,,45,,62,,,,,,47,
2021-01-07 16:15:00,40,,,45,,63,,,,,,47,
2021-01-07 17:00:00,40,66,,45,,66,,,,,,,
2021-01-07 17:30:00,40,,54,,,70,,,,,,,45
2021-01-07 18:00:00,41,,,47,,,,,,,,,
2021-01-07 18:15:00,41,71,55,,,73,,,,,,49,44
2021-01-07 19:00:00,42,,,48,,75,,,,,,50,
2021-01-07 19:15:00,42,71,56,,80,,,,,,,,44
2021-01-07 20:00:00,41,,,,,,,,,,,51,46
2021-01-07 21:00:00,40,,,,,,,,,,,,48
2021-01-07 22:00:00,39,,,,,83,,,,,,,49
2021-01-07 22:30:00,39,73,,49,,83,,,,,,55,49
2021-01-07 23:00:00,39,,54,,,,,,,,,,49
2021-01-08 00:00:00,39,,55,49,,82,,,,,,,49
2021-01-08 01:00:00,39,,54,50,,77,,,,,,,
2021-01-08 01:15:00,39,68,,,,75,,,,,,,49
2021-01-08 01:45:00,38,,,,,,,,,,,,49
2021-01-08 02:30:00,38,,,50,,77,,,,,,56,49
2021-01-08 02:45:00,38,67,54,,,76,,,,,,,
2021-01-08 03:45:00,38,,54,,,78,,,,,,,
2021-01-08 04:30:00,37,,53,49,,79,,,,,,,48
2021-01-08 05:30:00,37,,,,,81,,,,,,,
2021-01-08 06:15:00,37,,,,,85,,,,,,55,48
2021-01-08 07:15:00,37,,,,,80,,,,,,55,48
2021-01-08 07:45:00,36,69,,43,,82,,,,,,49,
2021-01-08 08:00:00,34,,50,40,,80,,,,,,42,36
2021-01-08 08:45:00,35,,51,41,,,,,,,,43,39
2021-01-08 09:00:00,35,69,51,41,,79,,,,,,43,40
2021-01-08 10:00:00,36,,53,,,,,,,,,43,40
2021-01-08 10:45:00,35,66,,,,63,,,,,,,41
2021-01-08 11:15:00,42,65,53,,82,60,,,,,,,
2021-01-08 11:45:00,38,65,,42,,59,,,,,,43,41
2021-01-08 12:00:00,38,65,53,42,,58,,,,,,44,42
2021-01-08 12:15:00,38,64,54,,,60,,,,,,44,42
2021-01-08 12:30:00,37,64,,42,,56,,,,,,,42
2021-01-08 12:45:00,37,64,54,42,,58,,,,,,44,42
2021-01-08 13:15:00,37,62,54,,,53,,,,,,43,
2021-01-08 13:45:00,37,,,,,49,,,,,,43,
